,year,FIPS,office,state,dem_votes,rep_votes,total_votes,target,win_percentage,win_margin,skew,Population(2010),Land Areami²,Water Areami²,Total Areami²,Latitude,Longitude
898,2020,17049.0,PRESIDENT,IL,3716.0,15006.0,18722.0,1,80.15,30.15,30.15,34242,478.777,1.229,480.006,39.04769,-88.59278
904,2020,17051.0,PRESIDENT,IL,1826.0,8055.0,9881.0,1,81.52,31.52,31.52,22140,716.482,8.861,725.343,39.00112,-89.01792
910,2020,17053.0,PRESIDENT,IL,1754.0,5048.0,6802.0,1,74.21,24.21,24.21,14081,485.616,0.626,486.242,40.59442,-88.22474
916,2020,17055.0,PRESIDENT,IL,4760.0,13622.0,18382.0,1,74.11,24.11,24.11,39561,408.889,22.555,431.444,37.99184,-88.92624
922,2020,17057.0,PRESIDENT,IL,6503.0,9867.0,16370.0,1,60.27,10.27,10.27,37069,865.595,16.979,882.574,40.46568,-90.20679
928,2020,17059.0,PRESIDENT,IL,622.0,2019.0,2641.0,1,76.45,26.45,26.45,5589,323.071,5.111,328.182,37.76867,-88.22796
934,2020,17061.0,PRESIDENT,IL,1349.0,4770.0,6119.0,1,77.95,27.95,27.95,13886,543.019,3.253,546.272,39.35544,-90.38775
940,2020,17063.0,PRESIDENT,IL,9626.0,16523.0,26149.0,1,63.19,13.19,13.19,50063,418.043,12.404,430.447,41.29241,-88.40105
946,2020,17065.0,PRESIDENT,IL,824.0,3432.0,4256.0,1,80.64,30.64,30.64,8457,434.665,1.226,435.891,38.08522,-88.539
952,2020,17067.0,PRESIDENT,IL,2315.0,6906.0,9221.0,1,74.89,24.89,24.89,19104,793.726,20.670,814.396,40.40579,-91.16798
958,2020,17069.0,PRESIDENT,IL,449.0,1691.0,2140.0,1,79.02,29.02,29.02,4320,177.528,4.051,181.579,37.51785,-88.26614
964,2020,17071.0,PRESIDENT,IL,1187.0,2394.0,3581.0,1,66.85,16.85,16.85,7331,378.872,16.348,395.220,40.81514,-90.93848
970,2020,17073.0,PRESIDENT,IL,9797.0,15300.0,25097.0,1,60.96,10.96,10.96,50486,822.985,2.658,825.643,41.35002,-90.13083
976,2020,17075.0,PRESIDENT,IL,2908.0,10877.0,13785.0,1,78.9,28.9,28.9,29718,1117.316,1.611,1118.927,40.74886,-87.8336
982,2020,17077.0,PRESIDENT,IL,11181.0,10890.0,22071.0,0,50.66,0.66,-0.66,60218,584.081,18.298,602.379,37.78609,-89.38121
988,2020,17079.0,PRESIDENT,IL,1007.0,4494.0,5501.0,1,81.69,31.69,31.69,9698,494.510,3.610,498.120,39.00487,-88.15076
994,2020,17081.0,PRESIDENT,IL,4608.0,12476.0,17084.0,1,73.03,23.03,23.03,38827,571.169,12.615,583.784,38.30078,-88.92421
1000,2020,17083.0,PRESIDENT,IL,2961.0,8712.0,11673.0,1,74.63,24.63,24.63,22985,369.271,7.857,377.128,39.08019,-90.36136
1006,2020,17085.0,PRESIDENT,IL,5109.0,7166.0,12275.0,1,58.38,8.38,8.38,22678,601.087,17.641,618.728,42.36239,-90.21147
1012,2020,17087.0,PRESIDENT,IL,1281.0,5059.0,6340.0,1,79.79,29.79,29.79,12582,343.915,4.949,348.864,37.46081,-88.88296
1018,2020,17089.0,PRESIDENT,IL,130166.0,96775.0,226941.0,0,57.36,7.36,-7.36,515269,520.058,4.143,524.201,41.93959,-88.42804
1024,2020,17091.0,PRESIDENT,IL,20271.0,28532.0,48803.0,1,58.46,8.46,8.46,113449,676.556,4.808,681.364,41.13949,-87.86112
