,C24050_002E,C24050_003E,C24050_004E,C24050_005E,C24050_006E,C24050_007E,C24050_008E,C24050_009E,C24050_010E,C24050_011E,C24050_012E,C24050_013E,C24050_014E,C24050_015E,C24050_029E,C24050_043E,C24050_057E,C24050_071E,C02003_002E,C02003_003E,C02003_004E,C02003_005E,C02003_006E,C02003_007E,C02003_008E,B01002_001E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B19326_001E,B23025_005E,B23025_003E,B27010_017E,B27010_033E,B27010_050E,B27010_001E,B27010_066E,B01003_001E,state_fip,county_fip
"Lee County, Illinois: Summary level: 050, state:17> county:103",419,797,2809,455,1723,936,179,778,935,3921,1377,530,680,4545,3143,3485,1304,3062,34454,31940,1782,72,257,58,345,42.2,24945,188,5,57,29,1,20,19,29,48,15,376,373,616,761,465,25736,1257,16796,343,941,1448,32262,33,35027,17,103
"Livingston County, Illinois: Summary level: 050, state:17> county:105",1004,1126,3027,334,1789,807,219,1082,725,3293,997,721,830,4208,2883,3614,1994,3255,37349,34856,2043,20,108,0,322,41.3,26556,204,0,0,29,10,10,17,0,40,31,650,489,699,724,405,27245,1077,17031,283,975,1003,33693,10,37689,17,105
"Logan County, Illinois: Summary level: 050, state:17> county:107",470,507,1346,347,1164,587,137,683,429,2909,909,533,835,3376,2386,2599,856,1639,28106,23727,3523,55,264,14,523,39.7,20846,48,0,2,0,3,16,11,1,50,197,281,303,575,1099,320,25949,913,11769,125,815,743,23997,0,29956,17,107
"McDonough County, Illinois: Summary level: 050, state:17> county:109",385,556,1387,265,1654,525,353,735,784,5116,1293,627,599,4862,3124,3454,939,1900,31379,28916,1618,53,663,18,111,30.7,18342,46,6,0,0,0,0,0,0,15,23,144,127,480,377,192,19184,1477,15756,144,1260,977,31636,2,32009,17,109
"McHenry County, Illinois: Summary level: 050, state:17> county:111",1211,11178,25615,6096,19681,7518,3942,11239,16773,29205,13003,7027,4738,58227,23800,42578,12834,19787,301825,281119,4137,272,8095,84,8118,39.3,202962,1367,0,19,73,64,337,228,251,1865,455,1609,1416,2268,2347,3146,34947,13756,170982,2013,8924,12664,306094,200,307357,17,111
"McLean County, Illinois: Summary level: 050, state:17> county:113",1158,3326,5936,1623,9880,2796,1099,18959,8004,22699,9674,3531,2125,38287,16164,23191,5232,7936,169361,145347,13853,304,8136,33,1688,32.7,103933,601,41,4,0,33,12,13,80,154,145,603,436,949,1135,980,29450,5301,96111,719,5287,4224,171960,79,173114,17,113
"Macon County, Illinois: Summary level: 050, state:17> county:115",896,2907,8804,997,5594,3252,756,2432,3169,10989,4348,2542,2097,15579,9306,11617,4500,7781,104110,85850,16088,224,1316,25,607,40.6,74408,661,0,28,0,0,27,45,79,162,167,990,1304,1470,1862,1356,25316,5712,54495,674,3579,5082,106773,12,109193,17,115
"Macoupin County, Illinois: Summary level: 050, state:17> county:117",935,1430,2506,579,2592,1483,268,1174,1484,4805,1820,989,1033,6551,3257,5190,2476,3624,46148,45523,321,31,201,15,57,42.6,32811,315,0,0,2,0,3,45,0,60,92,719,470,497,679,454,26565,2246,23344,254,1431,2139,46284,26,46844,17,117
"Madison County, Illinois: Summary level: 050, state:17> county:119",859,6927,16569,2790,14795,7873,2357,7891,12153,28446,12842,6018,5510,42381,21785,31063,11150,18651,261552,236014,21607,534,2248,97,1052,39.5,182966,1009,20,22,4,29,76,38,141,295,374,2721,1574,3122,3226,2057,28230,12180,137210,1528,9056,10583,264937,60,267356,17,119
"Marion County, Illinois: Summary level: 050, state:17> county:121",497,733,3074,339,1945,1204,107,634,791,4831,1271,879,761,4619,3729,3401,1473,3844,37908,35957,1423,64,294,0,170,41.7,26574,150,0,0,22,1,0,38,6,76,71,967,402,458,759,337,23254,1802,18868,442,1486,2033,37954,18,38665,17,121
"Marshall County, Illinois: Summary level: 050, state:17> county:123",323,307,1264,152,613,298,91,274,350,1136,348,316,179,1594,1109,1117,665,1166,12070,11773,73,23,44,7,150,45.9,8713,17,0,0,0,25,0,0,0,27,7,130,64,149,164,147,28086,393,6044,83,291,390,11908,1,12173,17,123
"Mason County, Illinois: Summary level: 050, state:17> county:125",393,473,763,129,700,637,67,307,313,1376,333,330,369,1786,1089,1336,794,1185,13982,13757,127,23,64,9,2,44.7,10047,121,0,0,0,6,0,1,27,3,48,191,187,264,258,172,23936,653,6843,66,387,715,13933,0,14126,17,125
"Massac County, Illinois: Summary level: 050, state:17> county:127",223,537,384,54,678,599,65,248,314,1408,732,298,281,1676,1246,1216,700,983,14639,13641,902,5,63,0,28,43.7,10598,123,3,0,2,19,22,22,4,37,74,286,228,502,407,163,21230,559,6380,100,625,895,14794,14,15016,17,127
"Menard County, Illinois: Summary level: 050, state:17> county:129",226,564,395,170,690,247,68,422,420,1764,303,272,711,2213,1146,1516,749,628,12478,12264,113,6,52,24,19,42.5,8817,16,0,0,0,0,0,0,13,11,4,97,60,138,171,164,33169,376,6628,82,206,405,12450,1,12611,17,129
