,skew_diff,FIPS,county,state,Population(2010),Total Areami²,Latitude,Longitude
137,12.280000000000001,2016.0,DISTRICT 16,AK,5561,14116.438,51.95944,-178.33881
136,12.280000000000001,2016.0,DISTRICT 16,AK,5561,14116.438,51.95944,-178.33881
1313,12.28,26079.0,KALKASKA,MI,17153,570.706,44.67888,-85.08899
3012,12.275000000000002,53033.0,KING,WA,1931249,2306.869,47.49355,-121.83237
529,12.275,13199.0,MERIWETHER,GA,21992,505.406,33.03022,-84.66327
507,12.27,13155.0,IRWIN,GA,9538,362.763,31.6043,-83.27703
682,12.265,17089.0,KANE,IL,515269,524.201,41.93959,-88.42804
2189,12.264999999999999,40031.0,COMANCHE,OK,124098,1083.704,34.66262,-98.47659
554,12.260000000000002,13251.0,SCREVEN,GA,14593,655.869,32.74475,-81.61758
2290,12.254999999999999,42007.0,BEAVER,PA,170539,444.043,40.68414,-80.35072
1081,12.239999999999998,21091.0,HANCOCK,KY,8565,198.886,37.84338,-86.79277
482,12.235,13105.0,ELBERT,GA,20166,374.216,34.11501,-82.84205
1013,12.23,20165.0,RUSH,KS,3307,717.973,38.52359,-99.30918
2379,12.23,45041.0,FLORENCE,SC,136885,803.725,34.02853,-79.71023
2428,12.225000000000001,46049.0,FAULK,SD,2364,1005.960,45.06547,-99.15356
557,12.220000000000002,13257.0,STEPHENS,GA,26175,184.197,34.55291,-83.29021
1217,12.220000000000002,22123.0,WEST CARROLL,LA,11604,360.567,32.79248,-91.45199
1331,12.215,26115.0,MONROE,MI,152021,680.019,41.91609,-83.4871
307,12.215,8037.0,EAGLE,CO,52197,1691.791,39.63063,-106.69294
2859,12.215,50023.0,WASHINGTON,VT,59534,695.423,44.27495,-72.60947
161,12.21,5013.0,CALHOUN,AR,5368,632.414,33.56046,-92.51387
255,12.21,6051.0,MONO,CA,14202,3131.876,37.91583,-118.87516
205,12.21,5101.0,NEWTON,AR,8330,823.186,35.91006,-93.21508
2364,12.204999999999998,45011.0,BARNWELL,SC,22621,557.263,33.26068,-81.43375
2319,12.200000000000001,42065.0,JEFFERSON,PA,45200,656.801,41.13028,-78.99904
1703,12.2,31013.0,BOX BUTTE,NE,11308,1077.837,42.21566,-103.08782
1361,12.195,27009.0,BENTON,MN,38451,413.058,45.70122,-94.00144
1349,12.194999999999999,26151.0,SANILAC,MI,43114,1589.941,43.44915,-82.64281
583,12.190000000000001,13309.0,WHEELER,GA,7421,300.268,32.10927,-82.7387
2395,12.185,45073.0,OCONEE,SC,74273,673.513,34.74875,-83.06152
1138,12.18,21205.0,ROWAN,KY,23333,286.266,38.20589,-83.42596
493,12.175,13127.0,GLYNN,GA,79626,585.248,31.21274,-81.49651
2335,12.17,42097.0,NORTHUMBERLAND,PA,94528,477.525,40.85152,-76.70987
2779,12.16,48429.0,STEPHENS,TX,9630,921.481,32.73153,-98.84008
2813,12.16,48497.0,WISE,TX,59127,922.584,33.21909,-97.65399
2940,12.16,51165.0,ROCKINGHAM,VA,76314,853.357,38.51125,-78.8763
1047,12.145000000000001,21023.0,BRACKEN,KY,8488,208.947,38.67852,-84.10035
430,12.13,12133.0,WASHINGTON,FL,24896,615.954,30.60221,-85.66279
2360,12.115,45003.0,AIKEN,SC,160099,1080.596,33.54931,-81.63387
2988,12.11,51770.0,ROANOKE,VA,97032,42.903,37.27783,-79.95847
1724,12.1,31055.0,DOUGLAS,NE,517110,339.347,41.29709,-96.15406
1419,12.09,27125.0,RED LAKE,MN,4089,432.495,47.86548,-96.08718
2665,12.079999999999998,48201.0,HARRIS,TX,4092459,1777.483,29.85727,-95.39303
258,12.079999999999998,6057.0,NEVADA,CA,98764,973.801,39.29519,-120.77344
880,12.075000000000001,19097.0,JACKSON,IA,19848,649.607,42.16428,-90.57459
1396,12.07,27079.0,LE SUEUR,MN,27703,473.807,44.37339,-93.73018
2005,12.065000000000001,37145.0,PERSON,NC,39464,404.079,36.38638,-78.96547
1373,12.065,27033.0,COTTONWOOD,MN,11687,648.561,44.01071,-95.18313
1668,12.05,30055.0,MCCONE,MT,1734,2682.824,47.62962,-105.75722
2096,12.049999999999997,39021.0,CHAMPAIGN,OH,40097,429.833,40.13275,-83.76754
2923,12.040000000000003,51127.0,NEW KENT,VA,18429,223.471,37.49897,-76.99333
955,12.035,20049.0,ELK,KS,2882,650.466,37.45602,-96.24464
2657,12.035,48185.0,GRIMES,TX,26604,801.603,30.54323,-95.98808
475,12.015,13091.0,DODGE,GA,21796,503.114,32.16065,-83.15681
1975,12.01,37085.0,HARNETT,NC,114678,601.304,35.36863,-78.87161
772,12.009999999999998,18065.0,HENRY,IN,49462,394.832,39.92957,-85.39733
1165,12.004999999999999,22019.0,CALCASIEU,LA,192768,1094.274,30.22955,-93.35801
980,11.989999999999998,20099.0,LABETTE,KS,21607,653.118,37.19146,-95.29747
2053,11.985000000000001,38041.0,HETTINGER,ND,2477,1133.780,46.43493,-102.45838
1332,11.98,26117.0,MONTCALM,MI,63342,720.826,43.31278,-85.14946
263,11.97,6067.0,SACRAMENTO,CA,1418788,994.018,38.45001,-121.34044
3050,11.96,54031.0,HARDY,WV,14025,584.484,39.01081,-78.84364
190,11.96,5071.0,JOHNSON,AR,25540,682.744,35.57335,-93.46632
2564,11.96,47189.0,WILSON,TN,113993,583.196,36.14847,-86.29021
457,11.959999999999999,13055.0,CHATTOOGA,GA,26015,313.558,34.47417,-85.34528
214,11.954999999999998,5119.0,PULASKI,AR,382748,807.663,34.77398,-92.31651
304,11.950000000000001,8031.0,DENVER,CO,600158,154.631,39.76184,-104.88062
2979,11.95,51690.0,MARTINSVILLE,VA,13821,11.008,36.68352,-79.86364
286,11.93,6113.0,YOLO,CA,200849,1023.557,38.67926,-121.90317
535,11.925000000000002,13213.0,MURRAY,GA,39628,346.662,34.79709,-84.73799
898,11.91,19133.0,MONONA,IA,9243,698.934,42.04943,-95.95656
2466,11.905000000000001,46127.0,UNION,SD,14399,467.129,42.8311,-96.65082
7,11.899999999999999,1007.0,BIBB,AL,22915,626.169,33.01589,-87.12714
6,11.899999999999999,1007.0,BIBB,AL,22915,626.169,33.01589,-87.12714
1631,11.89,29213.0,TANEY,MO,51675,651.639,36.64982,-93.04281
462,11.89,13065.0,CLINCH,GA,6798,823.993,30.91765,-82.70261
587,11.885,13317.0,WILKES,GA,10593,474.094,33.77904,-82.74792
2504,11.875,47069.0,HARDEMAN,TN,27253,670.381,35.21813,-88.98903
442,11.875,13023.0,BLECKLEY,GA,13063,219.132,32.4354,-83.33171
60,11.87,1061.0,GENEVA,AL,26790,578.951,31.09086,-85.82434
61,11.87,1061.0,GENEVA,AL,26790,578.951,31.09086,-85.82434
1317,11.864999999999998,26087.0,LAPEER,MI,88319,662.845,43.08863,-83.22432
1382,11.86,27051.0,GRANT,MN,6018,575.482,45.93074,-96.01069
3177,11.845000000000002,56031.0,PLATTE,WY,8667,2110.863,42.13031,-104.9608
1684,11.844999999999999,30087.0,ROSEBUD,MT,9233,5027.007,46.16173,-106.70195
1185,11.839999999999998,22059.0,LA SALLE,LA,14890,662.394,31.68083,-92.1618
231,11.834999999999999,6003.0,ALPINE,CA,1175,743.180,38.61761,-119.79899
3105,11.830000000000002,55031.0,DOUGLAS,WI,44159,1479.676,46.46331,-91.89258
908,11.825,19153.0,POLK,IA,430640,591.535,41.68428,-93.56972
2386,11.825,45055.0,KERSHAW,SC,61697,740.395,34.33835,-80.59088
1955,11.825,37045.0,CLEVELAND,NC,98078,468.251,35.33463,-81.55711
2291,11.82,42009.0,BEDFORD,PA,49762,1016.905,39.99711,-78.48998
209,11.82,5109.0,PIKE,AR,11291,614.130,34.15819,-93.65865
887,11.815,19111.0,LEE,IA,35862,538.867,40.64758,-91.47715
2388,11.81,45059.0,LAURENS,SC,66537,723.839,34.48347,-82.00565
2315,11.799999999999999,42057.0,FULTON,PA,14845,438.055,39.91075,-78.12261
1282,11.79,26017.0,BAY,MI,107771,630.717,43.69971,-83.9787
250,11.780000000000001,6041.0,MARIN,CA,252409,828.192,38.05181,-122.74597
639,11.77,17003.0,ALEXANDER,IL,8238,252.601,37.18368,-89.3495
2721,11.765,48313.0,MADISON,TX,13664,472.433,30.96687,-95.93037
1846,11.754999999999999,35015.0,EDDY,NM,53829,4197.522,32.45785,-104.30647
2470,11.754999999999999,47001.0,ANDERSON,TN,75129,344.796,36.11673,-84.19541
272,11.75,6085.0,SANTA CLARA,CA,1781642,1304.067,37.22077,-121.69062
527,11.75,13195.0,MADISON,GA,28120,285.588,34.12848,-83.20363
2145,11.75,39119.0,MUSKINGUM,OH,86074,672.583,39.96604,-81.9435
2872,11.745,51021.0,BLAND,VA,6824,358.728,37.13061,-81.12585
1383,11.74,27053.0,HENNEPIN,MN,1152425,606.547,45.00606,-93.47518
699,11.725,17123.0,MARSHALL,IL,12640,398.514,41.03111,-89.34237
2201,11.725,40055.0,GREER,OK,6239,643.632,34.93526,-99.55296
936,11.719999999999999,20011.0,BOURBON,KS,15173,639.092,37.8561,-94.85092
3074,11.715,54079.0,PUTNAM,WV,55486,350.399,38.51051,-81.9061
883,11.715,19103.0,JOHNSON,IA,130882,623.150,41.66873,-91.58881
1328,11.7,26109.0,MENOMINEE,MI,24029,1338.212,45.54417,-87.50989
3092,11.7,55005.0,BARRON,WI,45870,889.764,45.43719,-91.85289
1915,11.695,36089.0,ST. LAWRENCE,NY,111944,2821.439,44.48811,-75.07431
808,11.69,18137.0,RIPLEY,IN,28818,448.062,39.10023,-85.26054
1672,11.684999999999999,30063.0,MISSOULA,MT,109299,2618.320,47.02726,-113.89268
638,11.68,17001.0,ADAMS,IL,67103,871.338,39.98605,-91.19496
600,11.68,16013.0,BLAINE,ID,21376,2660.706,43.39448,-113.95529
2956,11.68,51199.0,YORK,VA,65464,214.958,37.22091,-76.39553
411,11.675,12095.0,ORANGE,FL,1145956,1003.260,28.51443,-81.32329
1294,11.670000000000002,26041.0,DELTA,MI,37069,1991.324,45.8051,-86.90137
541,11.665000000000001,13225.0,PEACH,GA,27695,151.300,32.57132,-83.83197
3067,11.66,54065.0,MORGAN,WV,17541,229.614,39.55483,-78.25731
2326,11.645,42079.0,LUZERNE,PA,320918,906.265,41.17278,-75.97603
517,11.635000000000002,13175.0,LAURENS,GA,48434,818.471,32.39322,-82.92631
745,11.629999999999999,18011.0,BOONE,IN,56640,423.252,40.05089,-86.46901
434,11.620000000000001,13007.0,BAKER,GA,3451,349.139,31.31962,-84.45485
2014,11.62,37163.0,SAMPSON,NC,63431,946.595,34.99057,-78.37138
2369,11.615,45021.0,CHEROKEE,SC,55342,397.178,35.04979,-81.60764
168,11.61,5027.0,COLUMBIA,AR,24552,766.753,33.21507,-93.2269
2406,11.6,46005.0,BEADLE,SD,17398,1264.814,44.41826,-98.27942
657,11.594999999999999,17039.0,DE WITT,IL,16561,405.084,40.18149,-88.90185
1763,11.59,31133.0,PAWNEE,NE,2773,432.949,40.13785,-96.24522
2944,11.59,51173.0,SMYTH,VA,32208,452.289,36.84231,-81.53978
2061,11.585,38057.0,MERCER,ND,8424,1112.491,47.30327,-101.82076
1084,11.58,21097.0,HARRISON,KY,18846,309.862,38.44348,-84.33279
1344,11.575,26141.0,PRESQUE ISLE,MI,13376,2572.756,45.48951,-83.38401
2383,11.565000000000001,45049.0,HAMPTON,SC,21090,562.706,32.77832,-81.14336
2804,11.56,48479.0,WEBB,TX,250304,3375.589,27.77058,-99.32664
1428,11.555,27143.0,SIBLEY,MN,15226,600.521,44.57573,-94.23012
996,11.555,20131.0,NEMAHA,KS,10178,719.438,39.79104,-96.00538
851,11.555,19039.0,CLARKE,IA,9286,431.756,41.02919,-93.78409
