,year,FIPS,office,state,dem_votes,rep_votes,county
0,2000,17165.0,PRESIDENT,IL,5427.0,5933.0,SALINE
0,2000,17167.0,PRESIDENT,IL,38414.0,50374.0,SANGAMON
0,2000,17169.0,PRESIDENT,IL,1587.0,2077.0,SCHUYLER
0,2000,17171.0,PRESIDENT,IL,954.0,1458.0,SCOTT
0,2000,17173.0,PRESIDENT,IL,4018.0,5851.0,SHELBY
0,2000,17175.0,PRESIDENT,IL,1211.0,1694.0,STARK
0,2000,17177.0,PRESIDENT,IL,8062.0,10715.0,STEPHENSON
0,2000,17179.0,PRESIDENT,IL,25379.0,31537.0,TAZEWELL
0,2000,17181.0,PRESIDENT,IL,3982.0,4397.0,UNION
0,2000,17183.0,PRESIDENT,IL,15406.0,15783.0,VERMILION
0,2000,17185.0,PRESIDENT,IL,1987.0,3406.0,WABASH
0,2000,17187.0,PRESIDENT,IL,3524.0,3899.0,WARREN
0,2000,17189.0,PRESIDENT,IL,2638.0,4353.0,WASHINGTON
0,2000,17191.0,PRESIDENT,IL,2209.0,5347.0,WAYNE
0,2000,17193.0,PRESIDENT,IL,2958.0,4521.0,WHITE
0,2000,17195.0,PRESIDENT,IL,12886.0,11252.0,WHITESIDE
0,2000,17197.0,PRESIDENT,IL,90902.0,95828.0,WILL
0,2000,17199.0,PRESIDENT,IL,12192.0,14012.0,WILLIAMSON
0,2000,17201.0,PRESIDENT,IL,51981.0,53816.0,WINNEBAGO
0,2000,17203.0,PRESIDENT,IL,5529.0,10905.0,WOODFORD
0,2000,26001.0,PRESIDENT,MI,2696.0,3152.0,ALCONA
0,2000,26003.0,PRESIDENT,MI,2071.0,2142.0,ALGER
0,2000,26005.0,PRESIDENT,MI,15495.0,28197.0,ALLEGAN
0,2000,26007.0,PRESIDENT,MI,7053.0,6769.0,ALPENA
0,2000,26009.0,PRESIDENT,MI,4329.0,6780.0,ANTRIM
0,2000,26011.0,PRESIDENT,MI,3685.0,3421.0,ARENAC
0,2000,26013.0,PRESIDENT,MI,1400.0,1836.0,BARAGA
0,2000,26015.0,PRESIDENT,MI,9769.0,15716.0,BARRY
0,2000,26017.0,PRESIDENT,MI,28251.0,22150.0,BAY
0,2000,26019.0,PRESIDENT,MI,3546.0,4172.0,BENZIE
0,2000,26021.0,PRESIDENT,MI,28152.0,35689.0,BERRIEN
0,2000,26023.0,PRESIDENT,MI,6691.0,8743.0,BRANCH
0,2000,26025.0,PRESIDENT,MI,27312.0,26291.0,CALHOUN
0,2000,26027.0,PRESIDENT,MI,8808.0,10545.0,CASS
0,2000,26029.0,PRESIDENT,MI,4958.0,7018.0,CHARLEVOIX
0,2000,26031.0,PRESIDENT,MI,5484.0,6815.0,CHEBOYGAN
0,2000,26033.0,PRESIDENT,MI,6370.0,7526.0,CHIPPEWA
0,2000,26035.0,PRESIDENT,MI,6287.0,5937.0,CLARE
0,2000,26037.0,PRESIDENT,MI,13394.0,18054.0,CLINTON
0,2000,26039.0,PRESIDENT,MI,2790.0,3345.0,CRAWFORD
0,2000,26041.0,PRESIDENT,MI,7970.0,8871.0,DELTA
0,2000,26043.0,PRESIDENT,MI,5533.0,6932.0,DICKINSON
0,2000,26045.0,PRESIDENT,MI,23211.0,24803.0,EATON
0,2000,26047.0,PRESIDENT,MI,5451.0,8602.0,EMMET
0,2000,26049.0,PRESIDENT,MI,119833.0,66641.0,GENESEE
0,2000,26051.0,PRESIDENT,MI,5573.0,5743.0,GLADWIN
0,2000,26053.0,PRESIDENT,MI,4066.0,3929.0,GOGEBIC
0,2000,26055.0,PRESIDENT,MI,14371.0,22358.0,GRAND TRAVERSE
0,2000,26057.0,PRESIDENT,MI,6538.0,8312.0,GRATIOT
0,2000,26059.0,PRESIDENT,MI,6495.0,10483.0,HILLSDALE
0,2000,26061.0,PRESIDENT,MI,5688.0,7895.0,HOUGHTON
0,2000,26063.0,PRESIDENT,MI,6899.0,8911.0,HURON
0,2000,26065.0,PRESIDENT,MI,69231.0,47314.0,INGHAM
0,2000,26067.0,PRESIDENT,MI,9481.0,13915.0,IONIA
0,2000,26069.0,PRESIDENT,MI,6505.0,6345.0,IOSCO
0,2000,26071.0,PRESIDENT,MI,3014.0,2967.0,IRON
0,2000,26073.0,PRESIDENT,MI,10228.0,10053.0,ISABELLA
0,2000,26075.0,PRESIDENT,MI,28160.0,32066.0,JACKSON
0,2000,26077.0,PRESIDENT,MI,48807.0,48254.0,KALAMAZOO
0,2000,26079.0,PRESIDENT,MI,2774.0,3842.0,KALKASKA
0,2000,26081.0,PRESIDENT,MI,95442.0,148602.0,KENT
0,2000,26083.0,PRESIDENT,MI,540.0,740.0,KEWEENAW
0,2000,26085.0,PRESIDENT,MI,2584.0,1961.0,LAKE
0,2000,26087.0,PRESIDENT,MI,15749.0,20351.0,LAPEER
0,2000,26089.0,PRESIDENT,MI,4635.0,6840.0,LEELANAU
0,2000,26091.0,PRESIDENT,MI,18365.0,20681.0,LENAWEE
0,2000,26093.0,PRESIDENT,MI,28780.0,44637.0,LIVINGSTON
0,2000,26095.0,PRESIDENT,MI,956.0,1480.0,LUCE
0,2000,26097.0,PRESIDENT,MI,2533.0,3272.0,MACKINAC
0,2000,26099.0,PRESIDENT,MI,172625.0,164265.0,MACOMB
0,2000,26101.0,PRESIDENT,MI,5639.0,5401.0,MANISTEE
0,2000,26103.0,PRESIDENT,MI,15503.0,12577.0,MARQUETTE
0,2000,26105.0,PRESIDENT,MI,5579.0,7066.0,MASON
0,2000,26107.0,PRESIDENT,MI,6300.0,8072.0,MECOSTA
0,2000,26109.0,PRESIDENT,MI,4597.0,5529.0,MENOMINEE
0,2000,26111.0,PRESIDENT,MI,15959.0,21887.0,MIDLAND
0,2000,26113.0,PRESIDENT,MI,2062.0,4274.0,MISSAUKEE
0,2000,26115.0,PRESIDENT,MI,31555.0,28940.0,MONROE
0,2000,26117.0,PRESIDENT,MI,9627.0,12696.0,MONTCALM
0,2000,26119.0,PRESIDENT,MI,2139.0,2750.0,MONTMORENCY
0,2000,26121.0,PRESIDENT,MI,37865.0,30028.0,MUSKEGON
0,2000,26123.0,PRESIDENT,MI,7677.0,11399.0,NEWAYGO
0,2000,26125.0,PRESIDENT,MI,281201.0,274319.0,OAKLAND
0,2000,26127.0,PRESIDENT,MI,4597.0,5913.0,OCEANA
0,2000,26129.0,PRESIDENT,MI,4896.0,4706.0,OGEMAW
0,2000,26131.0,PRESIDENT,MI,1514.0,2472.0,ONTONAGON
0,2000,26133.0,PRESIDENT,MI,4006.0,5680.0,OSCEOLA
0,2000,26135.0,PRESIDENT,MI,1677.0,2207.0,OSCODA
0,2000,26137.0,PRESIDENT,MI,4034.0,6108.0,OTSEGO
0,2000,26139.0,PRESIDENT,MI,29600.0,78703.0,OTTAWA
0,2000,26141.0,PRESIDENT,MI,3242.0,3660.0,PRESQUE ISLE
0,2000,26143.0,PRESIDENT,MI,6433.0,6190.0,ROSCOMMON
0,2000,26145.0,PRESIDENT,MI,50825.0,41152.0,SAGINAW
0,2000,26147.0,PRESIDENT,MI,33002.0,33571.0,ST. CLAIR
0,2000,26149.0,PRESIDENT,MI,8574.0,12906.0,ST. JOSEPH
0,2000,26151.0,PRESIDENT,MI,7153.0,10966.0,SANILAC
0,2000,26153.0,PRESIDENT,MI,2036.0,2088.0,SCHOOLCRAFT
0,2000,26155.0,PRESIDENT,MI,15520.0,15816.0,SHIAWASSEE
0,2000,26157.0,PRESIDENT,MI,10845.0,13213.0,TUSCOLA
0,2000,26159.0,PRESIDENT,MI,13796.0,14792.0,VAN BUREN
0,2000,26161.0,PRESIDENT,MI,86647.0,52459.0,WASHTENAW
0,2000,26163.0,PRESIDENT,MI,530414.0,223021.0,WAYNE
0,2000,26165.0,PRESIDENT,MI,5326.0,7215.0,WEXFORD
0,2000,48001.0,PRESIDENT,TX,5041.0,9835.0,ANDERSON
0,2000,48003.0,PRESIDENT,TX,876.0,3091.0,ANDREWS
0,2000,48005.0,PRESIDENT,TX,9957.0,16648.0,ANGELINA
0,2000,48007.0,PRESIDENT,TX,2637.0,5390.0,ARANSAS
0,2000,48009.0,PRESIDENT,TX,993.0,2951.0,ARCHER
0,2000,48011.0,PRESIDENT,TX,150.0,772.0,ARMSTRONG
0,2000,48013.0,PRESIDENT,TX,4322.0,6231.0,ATASCOSA
0,2000,48015.0,PRESIDENT,TX,2407.0,6661.0,AUSTIN
0,2000,48017.0,PRESIDENT,TX,488.0,1589.0,BAILEY
0,2000,48019.0,PRESIDENT,TX,1426.0,5613.0,BANDERA
0,2000,48021.0,PRESIDENT,TX,6973.0,10310.0,BASTROP
0,2000,48023.0,PRESIDENT,TX,663.0,1285.0,BAYLOR
0,2000,48025.0,PRESIDENT,TX,3795.0,4429.0,BEE
0,2000,48027.0,PRESIDENT,TX,21011.0,41208.0,BELL
0,2000,48029.0,PRESIDENT,TX,185158.0,215613.0,BEXAR
0,2000,48031.0,PRESIDENT,TX,811.0,2777.0,BLANCO
0,2000,48033.0,PRESIDENT,TX,62.0,283.0,BORDEN
0,2000,48035.0,PRESIDENT,TX,1930.0,4745.0,BOSQUE
0,2000,48037.0,PRESIDENT,TX,11662.0,18325.0,BOWIE
0,2000,48039.0,PRESIDENT,TX,24883.0,53445.0,BRAZORIA
0,2000,48041.0,PRESIDENT,TX,12359.0,32864.0,BRAZOS
0,2000,48043.0,PRESIDENT,TX,1349.0,1867.0,BREWSTER
0,2000,48045.0,PRESIDENT,TX,224.0,544.0,BRISCOE
0,2000,48047.0,PRESIDENT,TX,1854.0,556.0,BROOKS
0,2000,48049.0,PRESIDENT,TX,3138.0,9609.0,BROWN
0,2000,48051.0,PRESIDENT,TX,2235.0,3542.0,BURLESON
0,2000,48053.0,PRESIDENT,TX,3557.0,9286.0,BURNET
0,2000,48055.0,PRESIDENT,TX,3872.0,5216.0,CALDWELL
0,2000,48057.0,PRESIDENT,TX,2766.0,3724.0,CALHOUN
0,2000,48059.0,PRESIDENT,TX,1174.0,3656.0,CALLAHAN
0,2000,48061.0,PRESIDENT,TX,33214.0,27800.0,CAMERON
0,2000,48063.0,PRESIDENT,TX,1625.0,2121.0,CAMP
0,2000,48065.0,PRESIDENT,TX,480.0,2216.0,CARSON
0,2000,48067.0,PRESIDENT,TX,4618.0,6295.0,CASS
0,2000,48069.0,PRESIDENT,TX,727.0,1607.0,CASTRO
0,2000,48071.0,PRESIDENT,TX,2888.0,6769.0,CHAMBERS
0,2000,48073.0,PRESIDENT,TX,4755.0,9599.0,CHEROKEE
0,2000,48075.0,PRESIDENT,TX,602.0,1506.0,CHILDRESS
0,2000,48077.0,PRESIDENT,TX,1460.0,3112.0,CLAY
0,2000,48079.0,PRESIDENT,TX,344.0,807.0,COCHRAN
0,2000,48081.0,PRESIDENT,TX,355.0,1137.0,COKE
0,2000,48083.0,PRESIDENT,TX,853.0,2687.0,COLEMAN
0,2000,48085.0,PRESIDENT,TX,42884.0,128179.0,COLLIN
0,2000,48087.0,PRESIDENT,TX,429.0,974.0,COLLINGSWORTH
0,2000,48089.0,PRESIDENT,TX,2229.0,4913.0,COLORADO
0,2000,48091.0,PRESIDENT,TX,7131.0,24599.0,COMAL
0,2000,48093.0,PRESIDENT,TX,1636.0,3334.0,COMANCHE
0,2000,48095.0,PRESIDENT,TX,268.0,818.0,CONCHO
0,2000,48097.0,PRESIDENT,TX,3153.0,10128.0,COOKE
0,2000,48099.0,PRESIDENT,TX,4493.0,10321.0,CORYELL
0,2000,48101.0,PRESIDENT,TX,241.0,502.0,COTTLE
0,2000,48103.0,PRESIDENT,TX,387.0,1246.0,CRANE
0,2000,48105.0,PRESIDENT,TX,467.0,924.0,CROCKETT
0,2000,48107.0,PRESIDENT,TX,705.0,1270.0,CROSBY
0,2000,48109.0,PRESIDENT,TX,577.0,413.0,CULBERSON
0,2000,48111.0,PRESIDENT,TX,341.0,1385.0,DALLAM
0,2000,48113.0,PRESIDENT,TX,275308.0,322345.0,DALLAS
0,2000,48115.0,PRESIDENT,TX,1463.0,3337.0,DAWSON
0,2000,48117.0,PRESIDENT,TX,1240.0,3687.0,DEAF SMITH
